Product_Form,Cu,Ni,Mn,P,Temperature_Celsius,Fluence_1E19_n_cm2,DT41J_Celsius
W,0.11,0.24,1.485,0.015,276.6666666666667,0.17,42.788888888888884
W,0.11,0.24,1.485,0.015,276.6666666666667,0.17794,43.71666666666667
W,0.11,0.24,1.485,0.015,276.6666666666667,0.28479,42.42777777777778
W,0.01,0.9,1.33,0.012,276.6666666666667,0.117,0.11666666666666714
W,0.01,0.9,1.33,0.012,276.6666666666667,0.187,18.783333333333335
W,0.01,0.9,1.33,0.012,276.6666666666667,0.17704,2.5944444444444454
W,0.01,0.9,1.33,0.012,276.6666666666667,0.27478,12.372222222222222
W,0.2,1.05,1.28,0.019,276.6666666666667,0.179,60.316666666666656
W,0.2,1.05,1.28,0.019,276.6666666666667,0.113,56.083333333333336
W,0.2,1.05,1.28,0.019,276.6666666666667,0.28,76.07222222222224
W,0.2,1.05,1.28,0.019,276.6666666666667,0.17783,68.52777777777777
W,0.059,0.93,1.32,0.009,276.6666666666667,0.136,34.044444444444444
W,0.059,0.93,1.32,0.009,276.6666666666667,0.19364,32.58888888888888
W,0.023,0.936,1.25,0.01,276.6666666666667,0.19336,14.67777777777778
F,0.11,1.0,0.85,0.008,290.0,0.49,2.0
F,0.11,1.0,0.85,0.008,290.0,0.58,9.0
F,0.11,1.0,0.85,0.008,290.0,1.3,34.0
F,0.11,1.0,0.85,0.008,290.0,1.5,35.0
F,0.11,1.0,0.85,0.008,290.0,2.0,29.0
F,0.08,0.97,0.79,0.008,290.0,0.47,-13.0
F,0.08,0.97,0.79,0.008,290.0,1.4,24.0
F,0.08,0.97,0.79,0.008,290.0,2.0,21.0
W,0.07,0.93,1.6,0.007,290.0,0.46,18.0
W,0.07,0.93,1.6,0.007,290.0,1.1,24.0
W,0.07,0.93,1.6,0.007,290.0,1.5,27.0
W,0.07,0.93,1.6,0.007,290.0,1.9,32.0
W,0.07,0.93,1.6,0.007,290.0,2.3,25.0
F,0.03,0.84,0.88,0.006,290.0,0.302,9.0
F,0.03,0.84,0.88,0.006,290.0,0.596,14.0
F,0.06,0.87,0.94,0.006,290.0,0.248,12.0
F,0.06,0.87,0.94,0.006,290.0,0.506,26.0
W,0.06,1.67,1.42,0.013,290.0,0.302,37.0
W,0.06,1.67,1.42,0.013,290.0,0.589,69.0
F,0.05,0.94,0.98,0.006,290.0,0.204,10.0
F,0.05,0.94,0.98,0.006,290.0,0.497,13.0
F,0.05,0.91,0.93,0.005,290.0,0.248,0.0
F,0.05,0.91,0.93,0.005,290.0,0.605,1.0
W,0.04,0.98,1.77,0.008,290.0,0.252,11.0
W,0.04,0.98,1.77,0.008,290.0,0.563,8.0
F,0.03,0.75,1.32,0.008,290.0,0.206,-4.0
F,0.03,0.75,1.32,0.008,290.0,0.956,7.0
F,0.03,0.77,1.39,0.006,290.0,0.25,-9.0
F,0.03,0.77,1.39,0.006,290.0,0.8,5.0
W,0.05,0.84,1.27,0.01,290.0,0.25,12.0
W,0.05,0.84,1.27,0.01,290.0,0.8,13.0
F,0.08,0.9,0.86,0.009,290.0,0.277,6.0
F,0.08,0.9,0.86,0.009,290.0,0.546,22.0
F,0.07,0.87,0.86,0.006,290.0,0.335,13.0
F,0.07,0.87,0.86,0.006,290.0,0.66,9.0
W,0.04,0.99,1.76,0.01,290.0,0.341,10.0
W,0.04,0.99,1.76,0.01,290.0,0.672,10.0
F,0.05,0.83,0.84,0.008,295.0,0.552,20.0
F,0.05,0.83,0.84,0.008,295.0,3.2,42.0
F,0.09,0.97,0.81,0.007,295.0,0.565,18.0
F,0.09,0.97,0.81,0.007,295.0,3.23,50.0
W,0.03,0.08,1.51,0.015,295.0,0.562,14.0
W,0.03,0.08,1.51,0.015,295.0,3.2,36.0
F,0.08,0.9,0.92,0.005,290.0,0.311,7.0
F,0.08,0.9,0.92,0.005,290.0,0.599,8.0
W,0.08,1.7,1.41,0.012,290.0,0.316,40.0
W,0.08,1.7,1.41,0.012,290.0,0.605,57.0
F,0.12,1.0,0.83,0.01,290.0,0.25,23.0
F,0.12,1.0,0.83,0.01,290.0,0.68,40.0
F,0.12,1.0,0.83,0.01,290.0,0.68,41.0
W,0.1,0.84,1.87,0.009,290.0,0.25,21.0
W,0.1,0.84,1.87,0.009,290.0,0.68,44.0
F,0.07,0.92,0.87,0.01,290.0,0.26,17.0
F,0.07,0.92,0.87,0.01,290.0,0.494,24.0
F,0.07,0.86,0.9,0.006,290.0,0.314,16.0
F,0.07,0.86,0.9,0.006,290.0,0.599,25.0
W,0.04,0.98,1.74,0.008,290.0,0.319,14.0
W,0.04,0.98,1.74,0.008,290.0,0.606,4.0
F,0.13,0.82,0.68,0.011,284.0,1.5,33.0
F,0.13,0.82,0.68,0.011,284.0,1.7,21.0
F,0.13,0.82,0.68,0.011,284.0,1.7,26.0
F,0.13,0.82,0.68,0.011,284.0,5.3,55.0
F,0.11,0.81,0.68,0.01,284.0,1.7,11.0
F,0.11,0.81,0.68,0.01,284.0,3.5,28.0
W,0.23,1.08,1.83,0.009,284.0,0.9,107.0
W,0.23,1.08,1.83,0.009,284.0,1.7,132.0
W,0.23,1.08,1.83,0.009,284.0,1.7,131.0
W,0.23,1.08,1.83,0.009,284.0,1.7,127.0
W,0.23,1.08,1.83,0.009,284.0,5.3,167.0
F,0.1,0.83,0.75,0.015,282.0,0.84,31.0
F,0.1,0.83,0.75,0.015,282.0,1.55,39.0
F,0.1,0.83,0.75,0.015,282.0,2.14,49.0
F,0.1,0.83,0.75,0.015,282.0,2.55,56.0
F,0.1,0.83,0.75,0.015,282.0,3.0,59.0
F,0.1,0.83,0.75,0.015,282.0,3.75,64.0
F,0.1,0.83,0.75,0.015,282.0,4.83,73.0
W,0.19,1.15,1.1,0.014,282.0,0.82,63.0
W,0.19,1.15,1.1,0.014,282.0,1.56,72.0
W,0.19,1.15,1.1,0.014,282.0,2.85,86.0
W,0.19,1.15,1.1,0.014,282.0,3.42,86.0
W,0.19,1.15,1.1,0.014,282.0,5.4,100.0
W,0.1,0.44,0.9,0.014,282.0,0.82,24.0
W,0.1,0.44,0.9,0.014,282.0,1.53,25.0
W,0.1,0.44,0.9,0.014,282.0,2.05,25.0
W,0.1,0.44,0.9,0.014,282.0,2.54,18.0
W,0.1,0.44,0.9,0.014,282.0,3.28,24.0
W,0.1,0.44,0.9,0.014,282.0,4.11,34.0
F,0.04,0.75,1.38,0.007,290.0,0.217,12.0
F,0.04,0.75,1.38,0.007,290.0,0.628,16.0
F,0.04,0.77,1.37,0.007,290.0,0.264,1.0
F,0.04,0.77,1.37,0.007,290.0,0.53,14.0
W,0.06,0.95,1.21,0.011,290.0,0.264,5.0
W,0.06,0.95,1.21,0.011,290.0,0.59,27.0
W,0.22,1.11,1.14,0.015,285.0,2.22,111.0
F,0.11,0.99,0.66,0.01,285.0,0.19,13.0
F,0.11,0.99,0.66,0.01,285.0,0.58,26.0
F,0.11,0.99,0.66,0.01,285.0,0.58,29.0
F,0.12,0.97,0.72,0.015,285.0,0.19,16.0
F,0.12,0.97,0.72,0.015,285.0,0.58,23.0
F,0.12,0.97,0.72,0.015,285.0,0.58,30.0
W,0.12,0.87,1.72,0.008,285.0,0.19,9.0
W,0.12,0.87,1.72,0.008,285.0,0.58,23.0
F,0.12,0.98,0.82,0.006,290.0,0.22,18.0
F,0.12,0.98,0.82,0.006,290.0,0.64,38.0
F,0.12,0.98,0.82,0.006,290.0,0.22,10.0
F,0.12,0.98,0.82,0.006,290.0,0.64,34.0
W,0.1,0.86,1.72,0.016,290.0,0.22,21.0
W,0.1,0.86,1.72,0.016,290.0,0.64,36.0
P,0.25,0.53,1.368,0.012,274.44444444444446,4.09,111.66666666666667
P,0.25,0.53,1.368,0.012,277.22222222222223,0.938,95.0
P,0.25,0.53,1.368,0.012,278.3333333333333,1.64,95.55555555555556
P,0.25,0.53,1.368,0.012,278.8888888888889,2.09,82.67777777777776
P,0.25,0.53,1.368,0.012,274.44444444444446,4.09,107.77777777777777
P,0.25,0.53,1.368,0.012,277.22222222222223,0.938,86.66666666666667
P,0.25,0.53,1.368,0.012,278.8888888888889,2.09,80.06666666666666
W,0.23,1.2,1.23,0.012,274.44444444444446,4.09,198.88888888888889
W,0.23,1.2,1.23,0.012,277.22222222222223,0.938,158.33333333333334
W,0.23,1.2,1.23,0.012,278.3333333333333,1.64,169.44444444444446
W,0.23,1.2,1.23,0.012,278.8888888888889,2.09,170.08333333333334
P,0.2,0.056,1.46,0.01,289.44444444444446,0.62,45.0
P,0.2,0.056,1.46,0.01,286.1111111111111,0.808,48.333333333333336
P,0.2,0.056,1.46,0.01,285.55555555555554,2.12,51.666666666666664
P,0.2,0.056,1.46,0.01,282.77777777777777,2.14,45.55555555555556
P,0.12,0.067,1.46,0.014,289.44444444444446,0.62,22.77777777777778
P,0.12,0.067,1.46,0.014,286.1111111111111,0.808,23.88888888888889
P,0.12,0.067,1.46,0.014,285.55555555555554,2.12,15.555555555555555
P,0.12,0.067,1.46,0.014,282.77777777777777,2.14,25.0
W,0.23,0.62,1.575,0.019,289.44444444444446,0.62,59.44444444444444
W,0.23,0.62,1.575,0.019,286.1111111111111,0.808,91.66666666666667
W,0.23,0.62,1.575,0.019,285.55555555555554,2.12,85.55555555555556
W,0.23,0.62,1.575,0.019,282.77777777777777,2.14,99.44444444444444
F,0.051,0.7,0.59,0.01,289.44444444444446,0.651,22.22222222222222
F,0.051,0.7,0.59,0.01,286.1111111111111,0.857,19.444444444444443
F,0.051,0.7,0.59,0.01,285.55555555555554,2.16,28.333333333333332
F,0.051,0.7,0.59,0.01,284.44444444444446,3.04,34.44444444444444
F,0.088,0.71,0.65,0.009,289.44444444444446,0.651,21.666666666666668
F,0.088,0.71,0.65,0.009,286.1111111111111,0.857,34.44444444444444
F,0.088,0.71,0.65,0.009,285.55555555555554,2.16,48.333333333333336
F,0.088,0.71,0.65,0.009,284.44444444444446,3.04,55.55555555555556
W,0.25,0.59,1.4,0.014,289.44444444444446,0.651,92.77777777777777
W,0.25,0.59,1.4,0.014,286.1111111111111,0.857,86.11111111111111
W,0.25,0.59,1.4,0.014,285.55555555555554,2.16,124.44444444444444
W,0.25,0.59,1.4,0.014,284.44444444444446,3.04,125.0
P,0.133,0.62,1.427,0.008,275.55555555555554,0.016,6.666666666666667
W,0.11,0.407,1.56,0.009,275.55555555555554,0.016,7.777777777777778
F,0.06,0.72,1.41,0.013,280.0,0.609,17.72222222222222
F,0.06,0.72,1.41,0.013,280.0,1.31,12.88888888888889
F,0.06,0.72,1.41,0.013,280.0,3.96,53.33333333333333
F,0.06,0.72,1.41,0.013,280.0,4.39,56.22222222222222
F,0.06,0.72,1.41,0.013,280.0,0.609,27.11111111111111
F,0.06,0.72,1.41,0.013,280.0,1.31,18.833333333333332
F,0.06,0.72,1.41,0.013,280.0,3.96,46.666666666666664
F,0.06,0.72,1.41,0.013,280.0,4.39,41.111111111111114
W,0.14,0.11,1.3,0.017,280.0,0.609,19.555555555555557
W,0.14,0.11,1.3,0.017,280.0,1.31,25.333333333333332
W,0.14,0.11,1.3,0.017,280.0,3.96,68.33333333333333
W,0.14,0.11,1.3,0.017,280.0,4.39,89.44444444444444
F,0.077,0.697,1.215,0.011,280.0,0.585,21.11111111111111
F,0.077,0.697,1.215,0.011,280.0,1.07,28.88888888888889
F,0.077,0.697,1.215,0.011,280.0,4.02,47.77777777777778
F,0.077,0.697,1.215,0.011,280.0,4.14,52.455555555555556
F,0.077,0.697,1.215,0.011,280.0,0.585,20.555555555555557
F,0.077,0.697,1.215,0.011,280.0,1.07,16.666666666666668
F,0.077,0.697,1.215,0.011,280.0,4.02,46.666666666666664
F,0.077,0.697,1.215,0.011,280.0,4.14,57.388888888888886
W,0.082,0.071,1.28,0.019,280.0,0.585,37.77777777777778
W,0.082,0.071,1.28,0.019,280.0,1.07,31.11111111111111
W,0.082,0.071,1.28,0.019,280.0,4.02,54.44444444444444
W,0.082,0.071,1.28,0.019,280.0,4.14,51.544444444444444
P,0.134,0.634,1.337,0.015,276.1111111111111,0.023,16.11111111111111
W,0.161,0.794,1.122,0.014,276.1111111111111,0.023,16.11111111111111
P,0.06,0.6,1.33,0.004,296.1111111111111,0.365,19.000000000000004
P,0.06,0.6,1.33,0.004,296.1111111111111,0.365,31.555555555555557
P,0.04,0.63,1.48,0.003,292.77777777777777,0.628,13.133333333333333
P,0.04,0.63,1.48,0.003,292.77777777777777,0.628,0.766666666666667
W,0.04,0.06,1.08,0.005,296.1111111111111,0.365,1.5555555555555536
W,0.04,0.06,1.08,0.005,292.77777777777777,0.628,-3.722222222222223
P,0.04,0.68,1.54,0.006,296.1111111111111,0.387,4.444444444444445
P,0.04,0.68,1.54,0.006,296.1111111111111,0.387,3.3333333333333335
P,0.04,0.68,1.54,0.006,292.77777777777777,0.992,10.0
P,0.04,0.68,1.54,0.006,292.77777777777777,0.992,11.0
W,0.07,0.09,1.46,0.01,296.1111111111111,0.387,-2.2222222222222223
W,0.07,0.09,1.46,0.01,292.77777777777777,0.992,2.0
P,0.04,0.65,1.4,0.005,296.1111111111111,0.348,9.444444444444445
P,0.04,0.65,1.4,0.005,292.22222222222223,0.903,3.0
P,0.04,0.65,1.4,0.005,292.22222222222223,0.903,5.0
W,0.02,0.14,1.55,0.008,296.1111111111111,0.348,13.88888888888889
W,0.02,0.14,1.55,0.008,292.22222222222223,0.903,13.0
P,0.17,0.52,1.315,0.015,285.55555555555554,0.82,59.44444444444444
P,0.17,0.52,1.315,0.015,276.6666666666667,0.00103,-5.0
P,0.17,0.52,1.315,0.015,285.55555555555554,4.23,91.66666666666667
P,0.17,0.52,1.315,0.015,276.6666666666667,0.0055,1.6666666666666667
W,0.188,0.315,1.56,0.012,285.55555555555554,0.82,45.55555555555556
W,0.188,0.315,1.56,0.012,276.6666666666667,0.00103,-7.222222222222222
W,0.188,0.315,1.56,0.012,285.55555555555554,3.68,86.11111111111111
W,0.188,0.315,1.56,0.012,276.6666666666667,0.0055,-17.77777777777778
W,0.31,0.65,1.8,0.01,285.55555555555554,0.82,87.58888888888889
W,0.31,0.65,1.8,0.01,285.55555555555554,2.47,145.36666666666665
P,0.095,0.522,1.64,0.008,285.55555555555554,0.975,20.555555555555557
P,0.095,0.522,1.64,0.008,276.6666666666667,0.00173,1.1111111111111112
P,0.095,0.522,1.64,0.008,285.55555555555554,4.28,29.444444444444443
P,0.095,0.522,1.64,0.008,276.6666666666667,0.00656,0.5555555555555556
W,0.158,0.338,1.75,0.009,285.55555555555554,0.975,51.75555555555555
W,0.158,0.338,1.75,0.009,276.6666666666667,0.00173,18.42222222222222
W,0.158,0.338,1.75,0.009,285.55555555555554,3.94,83.42222222222222
W,0.158,0.338,1.75,0.009,276.6666666666667,0.00656,17.866666666666664
W,0.26,0.6,1.88,0.013,285.55555555555554,0.975,101.66666666666667
W,0.26,0.6,1.88,0.013,285.55555555555554,2.52,119.44444444444444
P,0.08,0.67,1.3,0.007,278.8888888888889,0.116,22.133333333333336
W,0.059,0.93,1.32,0.009,278.8888888888889,0.116,25.71666666666666
F,0.08,0.88,0.76,0.006,283.2,0.71,21.0
F,0.08,0.88,0.76,0.006,283.2,4.3,45.0
F,0.08,0.88,0.76,0.006,283.2,6.4,69.0
F,0.08,0.88,0.76,0.006,283.2,7.4,68.0
F,0.1,0.9,0.74,0.006,283.2,0.71,30.0
F,0.1,0.9,0.74,0.006,283.2,4.3,62.0
F,0.1,0.9,0.74,0.006,283.2,6.4,86.0
F,0.1,0.9,0.74,0.006,283.2,7.4,77.0
W,0.08,1.58,1.46,0.009,283.2,0.71,66.0
W,0.08,1.58,1.46,0.009,283.2,4.3,187.0
W,0.08,1.58,1.46,0.009,283.2,6.4,230.0
W,0.08,1.58,1.46,0.009,283.2,6.4,253.0
W,0.08,1.58,1.46,0.009,283.2,7.4,230.0
F,0.09,0.88,0.71,0.006,285.6,3.3,41.0
F,0.09,0.88,0.71,0.006,285.6,6.0,61.0
F,0.09,0.88,0.71,0.006,285.6,7.3,76.0
F,0.1,0.88,0.75,0.006,285.6,3.3,63.0
F,0.1,0.88,0.75,0.006,285.6,6.0,82.0
F,0.1,0.88,0.75,0.006,285.6,7.3,104.0
W,0.05,1.66,1.35,0.0015,285.6,3.3,125.0
W,0.05,1.66,1.35,0.0015,285.6,5.2,155.0
W,0.05,1.66,1.35,0.0015,285.6,6.0,184.0
W,0.05,1.66,1.35,0.0015,285.6,7.3,194.0
P,0.12,0.6,1.26,0.013,292.77777777777777,0.399,19.444444444444443
P,0.12,0.6,1.26,0.013,292.77777777777777,0.66,32.22222222222222
P,0.12,0.6,1.26,0.013,292.22222222222223,1.42,38.888888888888886
W,0.31,0.59,1.49,0.016,292.77777777777777,0.399,63.888888888888886
W,0.31,0.59,1.49,0.016,292.77777777777777,0.66,82.77777777777777
W,0.31,0.59,1.49,0.016,292.22222222222223,1.42,91.66666666666667
P,0.241,0.528,1.497,0.013,281.1111111111111,0.253,60.55555555555556
P,0.241,0.528,1.497,0.013,281.1111111111111,1.24,100.55555555555556
P,0.241,0.528,1.497,0.013,281.6666666666667,1.97,97.02222222222221
P,0.235,0.525,1.467,0.016,281.1111111111111,0.253,49.44444444444444
P,0.235,0.525,1.467,0.016,281.1111111111111,1.24,87.77777777777777
P,0.22,0.508,1.22,0.012,281.1111111111111,0.253,37.77777777777778
P,0.22,0.508,1.22,0.012,281.1111111111111,0.856,63.333333333333336
P,0.22,0.508,1.22,0.012,281.1111111111111,1.24,59.44444444444444
W,0.16,1.26,1.21,0.019,281.1111111111111,0.856,103.33333333333333
W,0.16,1.26,1.21,0.019,281.6666666666667,1.97,128.77222222222224
P,0.117,0.617,1.359,0.01,285.0,0.267,31.11111111111111
P,0.117,0.617,1.359,0.01,283.8888888888889,0.569,35.55555555555556
P,0.117,0.617,1.359,0.01,282.77777777777777,1.11,48.888888888888886
P,0.117,0.617,1.359,0.01,282.22222222222223,1.8,55.955555555555556
P,0.117,0.617,1.359,0.01,285.0,0.267,42.22222222222222
P,0.117,0.617,1.359,0.01,283.8888888888889,0.569,55.55555555555556
P,0.117,0.617,1.359,0.01,282.77777777777777,1.11,70.55555555555556
P,0.117,0.617,1.359,0.01,282.22222222222223,1.8,71.57222222222221
W,0.254,0.726,1.285,0.015,285.0,0.267,80.55555555555556
W,0.254,0.726,1.285,0.015,283.8888888888889,0.569,100.0
W,0.254,0.726,1.285,0.015,282.77777777777777,1.11,104.44444444444444
W,0.254,0.726,1.285,0.015,282.22222222222223,1.8,106.38333333333333
P,0.07,0.59,1.45,0.007,292.77777777777777,0.311,1.4444444444444446
P,0.07,0.59,1.45,0.007,292.77777777777777,1.3,5.611111111111111
P,0.07,0.59,1.45,0.007,292.77777777777777,0.311,36.61111111111111
P,0.07,0.59,1.45,0.007,292.77777777777777,1.3,39.99999999999999
P,0.07,0.59,1.45,0.007,292.77777777777777,2.66,12.944444444444441
P,0.07,0.59,1.45,0.007,292.77777777777777,2.66,54.66666666666666
W,0.047,0.049,1.28,0.009,292.77777777777777,0.311,14.1111111111111
W,0.047,0.049,1.28,0.009,292.77777777777777,1.3,13.499999999999993
W,0.047,0.049,1.28,0.009,292.77777777777777,2.66,23.166666666666657
P,0.093,0.613,1.313,0.009,275.55555555555554,0.014,10.0
W,0.025,0.95,1.182,0.014,275.55555555555554,0.014,13.88888888888889
P,0.123,0.633,1.3,0.008,275.55555555555554,0.013,5.0
W,0.025,0.965,1.172,0.014,275.55555555555554,0.013,-17.22222222222222
P,0.141,0.575,1.3,0.007,282.77777777777777,0.517,38.888888888888886
P,0.141,0.575,1.3,0.007,285.0,0.789,44.44444444444444
P,0.141,0.575,1.3,0.007,286.1111111111111,1.24,49.42777777777778
P,0.141,0.575,1.3,0.007,282.77777777777777,0.517,33.333333333333336
P,0.141,0.575,1.3,0.007,286.1111111111111,1.24,44.8111111111111
W,0.247,0.061,1.069,0.015,282.77777777777777,0.517,40.55555555555556
W,0.247,0.061,1.069,0.015,285.0,0.789,36.666666666666664
W,0.247,0.061,1.069,0.015,286.1111111111111,1.24,37.10555555555555
P,0.11,0.61,1.37,0.004,286.6666666666667,0.14,25.05555555555556
P,0.11,0.61,1.37,0.004,286.6666666666667,0.14,16.333333333333332
P,0.11,0.61,1.37,0.004,287.22222222222223,1.0,57.05555555555556
W,0.048,0.067,1.525,0.005,286.6666666666667,0.14,8.777777777777779
W,0.048,0.067,1.525,0.005,287.22222222222223,1.0,14.722222222222221
P,0.17,0.2,1.403,0.013,288.8888888888889,3.48,66.11111111111111
P,0.18,0.2,1.36,0.011,288.8888888888889,3.48,58.333333333333336
P,0.18,0.2,1.36,0.011,288.8888888888889,3.85,60.55555555555556
P,0.18,0.2,1.437,0.011,288.8888888888889,1.75,52.22222222222222
P,0.18,0.2,1.437,0.011,288.8888888888889,3.48,65.55555555555556
P,0.1,0.6,1.42,0.008,289.44444444444446,0.507,27.883333333333333
P,0.1,0.6,1.42,0.008,289.44444444444446,0.507,17.083333333333332
P,0.1,0.6,1.42,0.008,282.22222222222223,1.64,43.394444444444446
W,0.03,0.14,1.38,0.003,289.44444444444446,0.507,4.444444444444445
W,0.03,0.14,1.38,0.003,282.22222222222223,1.64,15.866666666666667
P,0.056,0.562,1.312,0.009,289.44444444444446,0.8,31.11111111111111
P,0.056,0.562,1.312,0.009,289.44444444444446,0.8,37.77777777777778
P,0.056,0.562,1.312,0.009,287.55555555555554,2.47,51.79999999999999
W,0.031,0.097,1.419,0.009,289.44444444444446,0.8,16.666666666666668
W,0.031,0.097,1.419,0.009,287.55555555555554,2.47,42.21666666666667
F,0.13,0.76,0.62,0.02,286.1111111111111,0.241,35.0
F,0.13,0.76,0.62,0.02,286.1111111111111,0.693,60.55555555555556
F,0.13,0.76,0.62,0.02,286.1111111111111,1.16,76.11111111111111
F,0.13,0.76,0.62,0.02,286.1111111111111,1.97,69.37222222222222
F,0.13,0.76,0.62,0.02,286.1111111111111,0.241,29.444444444444443
F,0.13,0.76,0.62,0.02,286.1111111111111,0.693,41.111111111111114
F,0.13,0.76,0.62,0.02,286.1111111111111,1.16,59.44444444444444
F,0.13,0.76,0.62,0.02,286.1111111111111,1.97,74.32777777777778
W,0.37,0.125,1.4,0.021,286.1111111111111,0.241,70.55555555555556
W,0.37,0.125,1.4,0.021,286.1111111111111,0.693,80.55555555555556
W,0.37,0.125,1.4,0.021,286.1111111111111,1.16,87.22222222222223
W,0.37,0.125,1.4,0.021,286.1111111111111,1.97,89.92222222222223
F,0.13,0.74,0.71,0.018,286.1111111111111,0.244,31.11111111111111
F,0.13,0.74,0.71,0.018,286.1111111111111,0.654,38.333333333333336
F,0.13,0.74,0.71,0.018,286.1111111111111,1.16,43.333333333333336
F,0.13,0.74,0.71,0.018,286.1111111111111,2.02,68.49444444444444
F,0.13,0.74,0.71,0.018,286.1111111111111,0.244,27.77777777777778
F,0.13,0.74,0.71,0.018,286.1111111111111,0.654,37.77777777777778
F,0.13,0.74,0.71,0.018,286.1111111111111,1.16,62.77777777777778
F,0.13,0.74,0.71,0.018,286.1111111111111,2.02,54.31666666666667
W,0.13,0.11,1.5,0.016,286.1111111111111,0.244,45.0
W,0.13,0.11,1.5,0.016,286.1111111111111,0.654,85.55555555555556
W,0.13,0.11,1.5,0.016,286.1111111111111,1.16,16.11111111111111
W,0.13,0.11,1.5,0.016,286.1111111111111,2.02,46.18888888888889
P,0.073,0.49,1.34,0.014,291.6666666666667,0.552,16.66666666666667
P,0.073,0.49,1.34,0.014,291.6666666666667,1.32,23.888888888888886
P,0.073,0.49,1.34,0.014,287.77777777777777,3.25,52.22222222222222
P,0.073,0.49,1.34,0.014,291.6666666666667,0.552,21.111111111111114
P,0.073,0.49,1.34,0.014,291.6666666666667,1.32,19.44444444444445
P,0.073,0.49,1.34,0.014,287.77777777777777,3.25,43.88888888888889
W,0.023,0.87,1.23,0.006,291.6666666666667,0.552,11.111111111111114
W,0.023,0.87,1.23,0.006,291.6666666666667,1.32,10.000000000000004
W,0.023,0.87,1.23,0.006,287.77777777777777,3.25,43.88888888888889
P,0.06,0.65,1.18,0.012,293.3333333333333,0.262,6.666666666666667
P,0.06,0.65,1.18,0.012,292.77777777777777,1.31,21.29444444444444
P,0.06,0.65,1.18,0.012,293.3333333333333,0.262,12.222222222222221
P,0.06,0.65,1.18,0.012,292.77777777777777,1.31,6.3999999999999995
P,0.06,0.65,1.18,0.012,293.3333333333333,4.37,36.05555555555556
P,0.06,0.65,1.18,0.012,293.3333333333333,4.37,16.88888888888889
P,0.06,0.65,1.18,0.012,292.77777777777777,2.68,22.0
P,0.06,0.65,1.18,0.012,292.77777777777777,2.68,13.0
W,0.02,0.09,1.36,0.009,293.3333333333333,0.262,17.22222222222222
W,0.02,0.09,1.36,0.009,292.77777777777777,1.31,18.87777777777778
W,0.02,0.09,1.36,0.009,293.3333333333333,4.37,24.22222222222222
W,0.02,0.09,1.36,0.009,292.77777777777777,2.68,15.0
P,0.04,0.65,1.55,0.006,293.3333333333333,0.245,6.111111111111111
P,0.04,0.65,1.55,0.006,292.77777777777777,1.25,16.4
P,0.04,0.65,1.55,0.006,293.3333333333333,0.245,4.444444444444445
P,0.04,0.65,1.55,0.006,292.77777777777777,1.25,19.333333333333332
P,0.04,0.65,1.55,0.006,293.3333333333333,4.2,19.61111111111111
P,0.04,0.65,1.55,0.006,293.3333333333333,4.2,41.611111111111114
P,0.04,0.65,1.55,0.006,292.22222222222223,2.49,15.0
P,0.04,0.65,1.55,0.006,292.22222222222223,2.49,22.0
W,0.01,0.15,1.45,0.01,293.3333333333333,0.245,-4.444444444444445
W,0.01,0.15,1.45,0.01,292.77777777777777,1.25,2.7111111111111117
W,0.01,0.15,1.45,0.01,293.3333333333333,4.2,14.666666666666666
W,0.01,0.15,1.45,0.01,292.22222222222223,2.49,12.0
P,0.11,0.5,1.395,0.013,280.55555555555554,0.271,27.22222222222222
P,0.11,0.5,1.395,0.013,281.6666666666667,1.8,62.22222222222222
P,0.11,0.5,1.395,0.013,283.8888888888889,1.6,46.87777777777777
W,0.23,0.64,1.47,0.011,280.55555555555554,0.271,95.0
W,0.23,0.64,1.47,0.011,281.6666666666667,1.8,138.88888888888889
W,0.23,0.64,1.47,0.011,283.8888888888889,1.6,130.12777777777777
P,0.11,0.54,1.34,0.011,279.44444444444446,0.297,32.22222222222222
P,0.11,0.54,1.34,0.011,282.22222222222223,1.89,43.888888888888886
P,0.11,0.54,1.34,0.011,283.8888888888889,2.73,60.150000000000006
P,0.11,0.54,1.34,0.011,279.44444444444446,0.297,26.666666666666668
P,0.11,0.54,1.34,0.011,282.22222222222223,1.89,36.111111111111114
P,0.11,0.54,1.34,0.011,283.8888888888889,2.73,58.46666666666667
W,0.19,0.56,1.535,0.018,279.44444444444446,0.297,52.77777777777778
W,0.19,0.56,1.535,0.018,282.22222222222223,1.89,78.33333333333333
W,0.19,0.56,1.535,0.018,283.8888888888889,2.73,99.71666666666667
W,0.22,0.59,1.45,0.016,283.3333333333333,0.69,83.72222222222223
W,0.39,0.58,1.63,0.018,283.3333333333333,0.69,102.75
W,0.37,0.7,1.53,0.013,283.3333333333333,0.69,146.3777777777778
F,0.05,0.725,1.28,0.012,287.0,1.02,5.5
F,0.05,0.725,1.28,0.012,287.0,2.56,19.2
F,0.05,0.725,1.28,0.012,287.0,6.2,43.8
W,0.048,0.935,1.13,0.017,287.0,1.33,33.0
W,0.048,0.935,1.13,0.017,287.0,3.38,48.0
W,0.048,0.935,1.13,0.017,287.0,8.19,81.0
F,0.04,0.76,1.39,0.008,295.0,1.18,16.3
F,0.04,0.76,1.39,0.008,295.0,3.9,33.8
F,0.04,0.76,1.39,0.008,295.0,7.4,55.4
F,0.04,0.77,1.41,0.006,295.0,1.18,9.5
